shine bright
shine like a star
shining bright
sift out
sign into
sign out of
sign with
sinking or swimming
slam out
slant toward
sling off
slip down
slip off to
slip out of
smash down
smash in
sound the horn
spark up
speak out loud
spew up
spike up
spin round
stammer out
stand between
stand out for
star in the making
stare out
start of a new day
start off on
start on at
start out as
start out to
stay around
stay on the right track
stay out of
steal out
steal up
steal up on
steam off
steam open
step to
stiffen up
stir in
stir into
stomp off
stomp on
stop around
stop at the red light
stop away
stop back
stop behind
stop on
store away
stretch to
stretcher off
strike a harmonious chord
strike upon
string together
strip down to
strip to
style after
suck into
sup up
swan in
swan off
swear down
sweep along
sweep back
sweeten up
sweeter than honey
swim with the sharks
swing at
swing round
tack onto
tag onto
tag with
take aside
take through
take upon
talk around
talk at
talk yourself out
tangle up
tap for
